Address,Tokens Transaction,Ether Transaction
0xcf70f3db7f7a4a7195b978186c21f4ffc89f630e,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x5dca2483280d9727c80b5518fac4556617fb194f,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xfe17332932ddfda117d1f8f9dd4ca8023e1c01eb,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x8e7ea7126a10df07b3ed6f425ebf7632d6df1548,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xfc30bd04258d03528f4829cb7aecb1dbb00088b2,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x36de990133d36d7e3df9a820aa3ede5a2320de71,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x1d7b2310659850931053ad6fb53add567f99d5c0,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x8fa3232ff0a45de66f1810096189a0f6f4ea8724,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x09c8f6fe2eaa718b6e06d617e1a8d3b11991981f,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x831283a628f377ccf760d885968c6a0b8019c22a,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x5f40324ed97badd9079e67e162c83b1fb9168a12,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0x8bcdf64cceea505445bbd5683ffd60fe941bdec3,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
0xdc52350858b60853d93390ab38dee3ce7e147fa7,https://zksync2-testnet.zkscan.io/tx/0x297c08bcf8980a430150094c0ea93cf5e5e4590d35c5a22487f4dad735355826,https://zksync2-testnet.zkscan.io/tx/0xe45bfc2dd9d14801b1c69d13d386d213f34ff684071773b5ee1eb90cb7bd7aaf
